Unidade da Federação;Urbana;Rural;Total
11 Rondônia;439714;268426;708140
12 Acre;180190;100793;280983
13 Amazonas;1040516;373851;1414367
14 Roraima;123929;42108;166037
15 Pará;2018235;1114533;3132768
16 Amapá;210950;28503;239453
17 Tocantins;428090;163717;591807
21 Maranhão;1617868;1194813;2812681
22 Piauí;849974;548316;1398290
23 Ceará;2537472;1091002;3628474
24 Rio Grande do Norte;976797;383156;1359953
25 Paraíba;1163908;508070;1671978
26 Pernambuco;2874992;951665;3826657
27 Alagoas;919168;459774;1378942
28 Sergipe;611067;263839;874906
29 Bahia;4227922;2234111;6462033
31 Minas Gerais;7144898;1706689;8851587
32 Espírito Santo;1199740;335066;1534806
33 Rio de Janeiro;6603891;296444;6900335
35 S�o Paulo;16861650;1277713;18139363
41 Paraná;3802017;935403;4737420
42 Santa Catarina;2076216;593095;2669311
43 Rio Grande do Sul;4018384;976335;4994719
50 Mato Grosso do Sul;860969;179055;1040024
51 Mato Grosso;999831;287356;1287187
52 Goiás;2160766;331672;2492438
53 Distrito Federal;933839;47517;981356
Total;66882993;16693022;83576015
