Faixa etária,Homens,Mulheres,Homens_a,Mulheres_a,Ano
Menor 1 ano,4783,4641,,,2010
1 a 4 anos,19536,18643,4955,4675,2010
5 a 9 anos,25254,24113,5060,4804,2010
10 a 14 anos,26321,25590,5556,5431,2010
15 a 19 anos,23737,23250,5179,5025,2010
20 a 29 anos,43226,43580,4286,4295,2010
30 a 39 anos,33235,33508,4282,4309,2010
40 a 49 anos,24181,22648,3097,2866,2010
50 a 59 anos,15550,14015,2099,1917,2010
60 a 69 anos,8155,6924,1289,1050,2010
70 a 79 anos,3534,3201,628,544,2010
80 anos e mais,1347,1507,,,2010
