Faixa etária;Homens_obitos;Mulheres_obitos;Homens;Mulheres;Homens_a;Mulheres_a;Ano
0 a 4 anos;56;53;24319;23284;;;2010
5 a 9 anos;6;4;25254;24113;5060;4804;2010
10 a 14 anos;8;5;26321;25590;5556;5431;2010
15 a 19 anos;40;13;23737;23250;5179;5025;2010
20 a 24 anos;57;18;21828;21788;4286;4295;2010
25 a 29 anos;53;27;21398;21792;4576;4422;2010
30 a 34 anos;70;20;18326;18669;4282;4309;2010
35 a 39 anos;51;16;14909;14839;3362;3294;2010
40 a 44 anos;48;20;13039;12269;3097;2866;2010
45 a 49 anos;58;29;11142;10379;2568;2331;2010
50 a 54 anos;73;36;8831;8087;2099;1917;2010
55 a 59 anos;75;43;6719;5928;1486;1372;2010
60 a 64 anos;64;48;4942;4131;1289;1050;2010
65 a 69 anos;62;47;3213;2793;885;735;2010
70 a 74 anos;75;42;2200;1960;628;544;2010
75 a 79 anos;55;42;1334;1241;320;310;2010
80 anos e mais;149;113;1347;1507;;;2010
