Data;Imposto sobre a circulação de mercadorias (ICMS) - Rio de Janeiro (RJ) - R$ - Ministério da Economia, Sistema de Informação Contábeis e Fiscais do Setor Público Brasileiro (Min. Economia/Siconfi) - CONFAZ12_ICMSRJ12;
1993.01;3345,768;
1993.02;3671,141;
1993.03;4599,264;
1993.04;6288,473;
1993.05;7565,161;
1993.06;10430,883;
1993.07;12640,705;
1993.08;15821,415;
1993.09;23041,835;
1993.10;28303,181;
1993.11;27998,717;
1993.12;94338,751;
1994.01;31363;
1994.02;39402;
1994.03;49949;
1994.04;88609;
1994.05;131986;
1994.06;220931;
1994.07;237048;
1994.08;328884;
1994.09;314528;
1994.10;327420;
1994.11;338343;
1994.12;355615;
1995.01;352342;
1995.02;365389;
1995.03;398561;
1995.04;358834;
1995.05;363904;
1995.06;344627;
1995.07;359522;
1995.08;362594;
1995.09;374680;
1995.10;394762;
1995.11;391979;
1995.12;446785;
1996.01;429110;
1996.02;420714;
1996.03;418529;
1996.04;453810;
1996.05;433406;
1996.06;441471;
1996.07;430591;
1996.08;431961;
1996.09;437927;
1996.10;423977;
1996.11;448697;
1996.12;449261;
1997.01;447203;
1997.02;410243;
1997.03;393689;
1997.04;416990;
1997.05;431412;
1997.06;399397;
1997.07;440986;
1997.08;458309;
1997.09;439282;
1997.10;456097;
1997.11;486685;
1997.12;458874;
1998.01;500791;
1998.02;492921;
1998.03;520970;
1998.04;647593;
1998.05;518649;
1998.06;527683;
1998.07;521261;
1998.08;492548;
1998.09;531514;
1998.10;562384;
1998.11;521596;
1998.12;522891;
1999.01;576234;
1999.02;530291;
1999.03;533112;
1999.04;612549;
1999.05;582719;
1999.06;591352;
1999.07;608522;
1999.08;634514;
1999.09;637531;
1999.10;654412;
1999.11;637531;
1999.12;631208;
2000.01;701658;
2000.02;643372;
2000.03;658056;
2000.04;619783;
2000.05;654090;
2000.06;660309;
2000.07;680004;
2000.08;683408;
2000.09;671173;
2000.10;712642;
2000.11;739673;
2000.12;745746;
2001.01;813429;
2001.02;770919;
2001.03;778414;
2001.04;818206;
2001.05;807808;
2001.06;827367;
2001.07;781521;
2001.08;752808;
2001.09;771802;
2001.10;747415;
2001.11;775686;
2001.12;723496;
2002.01;888825;
2002.02;809817;
2002.03;765959;
2002.04;795751;
2002.05;947156;
2002.06;833502;
2002.07;880960;
2002.08;1012038;
2002.09;865357;
2002.10;812577;
2002.11;933254;
2002.12;863916;
2003.01;998777;
2003.02;948944;
2003.03;994135;
2003.04;934185;
2003.05;1004094;
2003.06;836157;
2003.07;921079;
2003.08;906301;
2003.09;889678;
2003.10;891409;
2003.11;925191;
2003.12;930609;
2004.01;1668432;
2004.02;966557;
2004.03;895695;
2004.04;963802;
2004.05;958768;
2004.06;1052941;
2004.07;1094093;
2004.08;1112655;
2004.09;1068962;
2004.10;1020106;
2004.11;1087518;
2004.12;1162308;
2005.01;1287877;
2005.02;1080412;
2005.03;1060465;
2005.04;1126671;
2005.05;1080253;
2005.06;968390;
2005.07;1041431;
2005.08;1041887;
2005.09;1114175;
2005.10;1090089;
2005.11;1199233;
2005.12;1305695;
2006.01;1314284;
2006.02;1076847;
2006.03;1100750;
2006.04;1042952;
2006.05;1159611;
2006.06;1186906;
2006.07;1221351;
2006.08;1233336;
2006.09;1330125;
2006.10;1350754;
2006.11;1347920;
2006.12;1440133;
2007.01;1420980;
2007.02;1231477;
2007.03;1197137;
2007.04;1250700;
2007.05;1239570;
2007.06;1185474;
2007.07;1223636;
2007.08;1220604;
2007.09;1373413;
2007.10;1444404;
2007.11;1560439;
2007.12;1323447;
2008.01;1526582;
2008.02;1463537;
2008.03;1244698;
2008.04;1387779;
2008.05;1371760;
2008.06;1464351;
2008.07;1444571;
2008.08;1473822;
2008.09;1683908;
2008.10;1579409;
2008.11;1680479;
2008.12;1514640;
2009.01;1664124;
2009.02;1493785;
2009.03;1511605;
2009.04;1833699;
2009.05;1377445;
2009.06;1469247;
2009.07;1439210;
2009.08;1441413;
2009.09;1577735;
2009.10;1634229;
2009.11;1841705;
2009.12;1816098;
2010.01;1964384;
2010.02;1707861;
2010.03;1776963;
2010.04;1858657;
2010.05;2332770;
2010.06;1782416;
2010.07;1759627;
2010.08;1831990;
2010.09;1930855;
2010.10;1931069;
2010.11;2026911;
2010.12;2098446;
2011.01;2214239;
2011.02;1894126;
2011.03;2018744;
2011.04;1996915;
2011.05;2159656;
2011.06;2135001;
2011.07;1925068;
2011.08;2095246;
2011.09;2129815;
2011.10;2096364;
2011.11;2217101;
2011.12;2272286;
2012.01;2425515;
2012.02;2019638;
2012.03;2157601;
2012.04;2373354;
2012.05;2260965;
2012.06;2266557;
2012.07;2306525;
2012.08;2323600;
2012.09;2378092;
2012.10;2317816;
2012.11;2501316;
2012.12;2459418;
2013.01;2728449;
2013.02;2462824;
2013.03;2457667;
2013.04;2562133;
2013.05;2455352;
2013.06;2739774;
2013.07;2367354;
2013.08;2381845;
2013.09;2855689;
2013.10;2853916;
2013.11;2822490;
2013.12;2958401;
2014.01;2855821;
2014.02;2841005;
2014.03;2549725,792;
2014.04;2627863,346;
2014.05;2577560,688;
2014.06;2472016,55;
2014.07;2408382,483;
2014.08;2582124,038;
2014.09;2537875,983;
2014.10;2728544,987;
2014.11;2671177,814;
2014.12;2773829,65;
2015.01;2663548,708;
2015.02;2506978,674;
2015.03;2495449,664;
2015.04;2626255,759;
2015.05;2595135,29;
2015.06;2717551,921;
2015.07;2892236,978;
2015.08;2486192,098;
2015.09;2572900,01;
2015.10;2864306,177;
2015.11;2591369,553;
2015.12;2970826,153;
2016.01;2926411,508;
2016.02;2614663,652;
2016.03;2632046,18;
2016.04;2775394,595;
2016.05;2546804,735;
2016.06;2481190,63403;
2016.07;2431413,439;
2016.08;2409294,555;
2016.09;2375270,684;
2016.10;2557071,423;
2016.11;2505423,066;
2016.12;2844885,458;
2017.01;2873629,24;
2017.02;2580038,761;
2017.03;2614013,428;
2017.04;2777525,808;
2017.05;2580184,472;
2017.06;2590748,726;
2017.07;2547936,58;
2017.08;2643755,63;
2017.09;2738455,174;
2017.10;2635462,032;
2017.11;2731232,002;
2017.12;2899942,934;
2018.01;3326792,921;
2018.02;2964240,825;
2018.03;2759480,722;
2018.04;2805231,085;
2018.05;3009136,497;
2018.06;2788789,59;
2018.07;3445681,544;
2018.08;3177137,982;
2018.09;3012799,733;
2018.10;2725145,839;
2018.11;3617463,455;
2018.12;4013051,755;
2019.01;3513047,226;
2019.02;3156790,635;
2019.03;2881117,769;
2019.04;3100883,115;
2019.05;2921863,23;
2019.06;2898956,677;
2019.07;2759480,722;
2019.08;2805231,085;
2019.09;3151570,16821;
2019.10;3093948,94075;
2019.11;3048893,78166;
2019.12;3633612,74324;
2020.01;3701251,30497;
2020.02;3104293,59012;
2020.03;3087881,10996;
2020.04;2610846,91009;
2020.05;2305384,81159;
2020.06;2478295,73217;
2020.07;2743699,01907;
2020.08;3099185,63173;
2020.09;3231065,36583;
2020.10;3237407,43423;
2020.11;4582622,62718;
2020.12;4510993,06814;
2021.01;3682195,22804;
2021.02;3476373,42331;
2021.03;3851986,17429;
2021.04;4519771,65882;
2021.05;4139830,26214;
2021.06;4410966,44598;
2021.07;4156471,0126;
2021.08;4323868,99898;
2021.09;4710575,93816;
2021.10;4838695,12903;
2021.11;4995935,24608;
2021.12;5015593,4066;
2022.01;4801372,95106;
2022.02;4001646,63273;
2022.03;3996198,91589;
2022.04;4501988,53357;
2022.05;4300200,78183;
2022.06;4611856,48763;
2022.07;4249319,81519;
2022.08;3879924,93604;
2022.09;4779207,37764;
2022.10;3844477,95025;
2022.11;4006567,68391;
2022.12;3800776,21083;
2023.01;15238770,82;
2023.02;7222611,55;
2023.03;6364194,6;
2023.04;4098409,49;
2023.05;2056406,58;
2023.06;1572269,83;
2023.07;1488638,98;
2023.08;1277332,21;
2023.09;979345,33;
2023.10;915187,98;
2023.11;809464,14;
2023.12;1012411,2;
