Month,FoodAndBeverage
1992-01,29589
1992-02,28570
1992-03,29682
1992-04,30228
1992-05,31677
1992-06,30769
1992-07,32402
1992-08,31469
1992-09,30162
1992-10,31407
1992-11,30388
1992-12,34170
1993-01,30039
1993-02,28126
1993-03,30455
1993-04,30820
1993-05,31891
1993-06,31352
1993-07,33029
1993-08,31215
1993-09,30622
1993-10,31223
1993-11,30803
1993-12,34941
1994-01,30251
1994-02,28514
1994-03,31920
1994-04,31208
1994-05,32215
1994-06,32537
1994-07,33288
1994-08,32613
1994-09,31860
1994-10,31846
1994-11,31915
1994-12,36173
1995-01,31039
1995-02,29132
1995-03,32361
1995-04,31792
1995-05,33178
1995-06,33060
1995-07,33520
1995-08,33279
1995-09,32177
1995-10,31830
1995-11,32508
1995-12,36510
1996-01,31733
1996-02,30778
1996-03,33060
1996-04,32158
1996-05,34382
1996-06,33452
1996-07,34426
1996-08,34841
1996-09,32214
1996-10,33524
1996-11,34045
1996-12,36460
1997-01,33175
1997-02,30538
1997-03,34446
1997-04,32637
1997-05,35522
1997-06,33570
1997-07,35396
1997-08,35191
1997-09,33039
1997-10,34401
1997-11,34128
1997-12,37330
1998-01,33440
1998-02,30661
1998-03,33392
1998-04,33926
1998-05,35722
1998-06,34351
1998-07,36390
1998-08,35388
1998-09,34037
1998-10,35421
1998-11,34557
1998-12,39240
1999-01,34300
1999-02,32175
1999-03,35502
1999-04,35121
1999-05,37055
1999-06,35791
1999-07,37981
1999-08,36105
1999-09,35734
1999-10,36164
1999-11,35833
1999-12,41938
2000-01,34190
2000-02,33507
2000-03,36459
2000-04,36321
2000-05,37627
2000-06,37469
2000-07,38160
2000-08,37768
2000-09,36768
2000-10,36614
2000-11,37629
2000-12,42252
2001-01,36332
2001-02,34585
2001-03,38321
2001-04,37122
2001-05,39793
2001-06,39006
2001-07,39182
2001-08,39683
2001-09,37821
2001-10,38375
2001-11,39151
2001-12,43058
2002-01,37662
2002-02,35215
2002-03,39485
2002-04,36629
2002-05,40390
2002-06,38715
2002-07,39773
2002-08,39918
2002-09,37068
2002-10,38461
2002-11,39501
2002-12,42039
2003-01,38602
2003-02,35581
2003-03,38721
2003-04,38478
2003-05,41032
2003-06,38969
2003-07,41076
2003-08,40670
2003-09,38396
2003-10,39828
2003-11,39767
2003-12,43265
2004-01,39978
2004-02,37184
2004-03,39604
2004-04,39857
2004-05,41918
2004-06,40447
2004-07,42512
2004-08,40617
2004-09,40270
2004-10,41050
2004-11,41018
2004-12,45925
2005-01,40592
2005-02,37829
2005-03,42159
2005-04,40917
2005-05,42964
2005-06,42445
2005-07,43688
2005-08,42816
2005-09,41985
2005-10,42420
2005-11,42710
2005-12,47959
2006-01,41168
2006-02,39281
2006-03,42901
2006-04,42455
2006-05,44850
2006-06,44052
2006-07,44899
2006-08,44784
2006-09,43148
2006-10,43709
2006-11,44640
2006-12,49345
2007-01,43498
2007-02,41044
2007-03,45254
2007-04,43562
2007-05,47042
2007-06,46140
2007-07,46416
2007-08,46670
2007-09,44719
2007-10,45553
2007-11,46809
2007-12,51130
2008-01,45794
2008-02,44062
2008-03,47064
2008-04,45386
2008-05,49605
2008-06,47134
2008-07,49156
2008-08,49035
2008-09,46028
2008-10,47737
2008-11,47675
2008-12,50600
2009-01,47103
2009-02,42602
2009-03,45731
2009-04,46450
2009-05,49142
2009-06,46954
2009-07,48915
2009-08,47863
2009-09,46219
2009-10,47895
2009-11,47405
2009-12,52139
2010-01,47072
2010-02,44275
2010-03,48123
2010-04,47050
2010-05,49655
2010-06,47813
2010-07,49732
2010-08,48357
2010-09,47478
2010-10,48583
2010-11,48842
2010-12,53550
2011-01,48438
2011-02,45575
2011-03,49729
2011-04,50588
2011-05,51441
2011-06,51040
2011-07,52522
2011-08,51575
2011-09,49925
2011-10,50887
2011-11,51352
2011-12,56065
2012-01,49834
2012-02,48850
2012-03,52549
2012-04,50842
2012-05,53955
2012-06,52702
2012-07,52868
2012-08,53442
2012-09,51123
2012-10,52236
2012-11,52904
2012-12,56900
2013-01,51652
2013-02,48596
2013-03,54260
2013-04,50388
2013-05,55266
2013-06,53261
2013-07,54534
2013-08,55121
2013-09,51749
2013-10,53747
2013-11,54764
2013-12,58208
2014-01,54132
2014-02,49991
2014-03,54396
2014-04,54270
2014-05,57854
2014-06,55339
2014-07,57477
2014-08,57384
2014-09,54386
2014-10,56944
2014-11,57019
2014-12,61344
2015-01,56749
2015-02,52155
2015-03,56741
2015-04,55703
2015-05,59296
2015-06,56827
2015-07,59294
2015-08,57957
2015-09,55775
2015-10,57692
2015-11,57099
2015-12,62185
2016-01,56931
2016-02,54145
2016-03,58086
2016-04,56266
2016-05,59242
2016-06,58521
2016-07,59851
2016-08,58627
2016-09,57448
2016-10,58744
2016-11,59198
2016-12,65103
2017-01,57800
2017-02,54492
2017-03,60237
2017-04,59605
2017-05,62115
2017-06,60545
2017-07,61611
2017-08,61414
2017-09,60283
2017-10,60762
2017-11,62093
2017-12,67886
2018-01,60393
2018-02,56483
2018-03,63791
2018-04,59571
2018-05,64527
2018-06,62765
2018-07,63399
2018-08,63628
2018-09,61186
2018-10,62554
2018-11,63656
2018-12,68047
2019-01,62829
2019-02,56898
2019-03,63504
2019-04,62402
2019-05,66510
2019-06,64479
2019-07,66428
2019-08,66937
2019-09,62420
2019-10,64849
2019-11,66363
2019-12,70028
